row_index,timestamp,ct_src_dport_ltm,rate,dwin,dload,swin,ct_dst_sport_ltm,ct_state_ttl,sttl,src,proto,state,mse,result
10,"May 15, 2025, 3:49 p.m.",3,0,0,1089,6624.0,61,5,64,N/A,N/A,0.0,0.3117824602761999,NORMAL
11,"May 15, 2025, 3:49 p.m.",61,0,0,6624,6570.4,3,5,64,N/A,N/A,0.0,0.389698355438445,NORMAL
12,"May 15, 2025, 3:49 p.m.",3,0,0,1165,5561.5,64,6,64,N/A,N/A,0.0,0.3570014496574717,NORMAL
8,"May 15, 2025, 3:49 p.m.",3,0,0,1147,5561.5,61,6,64,N/A,N/A,0.0,0.3759038956139074,NORMAL
9,"May 15, 2025, 3:49 p.m.",61,0,0,2155,8150.75,3,4,64,N/A,N/A,0.0,0.15449145553390028,NORMAL
6,"May 15, 2025, 3:49 p.m.",3,0,0,1140,5561.5,61,6,64,N/A,N/A,0.0,0.3964705659225173,NORMAL
7,"May 15, 2025, 3:49 p.m.",61,0,0,2132,8150.75,3,4,64,N/A,N/A,0.0,0.4453603266015795,NORMAL
4,"May 15, 2025, 3:49 p.m.",61,0,0,3440,3790.6666666666665,1,9,64,N/A,N/A,0.0,1.062905753179255,NORMAL
5,"May 15, 2025, 3:49 p.m.",1,0,0,6404,9105.625,61,8,126,N/A,N/A,0.0,3.823621324665979,NORMAL
2,"May 15, 2025, 3:49 p.m.",2,0,0,190,0.0,61,1,63,N/A,N/A,0.0,0.9857404888392893,NORMAL
3,"May 15, 2025, 3:49 p.m.",2,0,0,126,0.0,61,1,63,N/A,N/A,0.0,0.7592062332090399,NORMAL
0,"May 15, 2025, 3:49 p.m.",61,0,0,78,0.0,2,1,64,N/A,N/A,0.0,0.9332618235319271,NORMAL
1,"May 15, 2025, 3:49 p.m.",61,0,0,78,0.0,2,1,64,N/A,N/A,0.0,0.7939198607255424,NORMAL
40,"May 15, 2025, 3:12 p.m.",3,0,0,1174,5561.5,85,6,64,N/A,N/A,0.0,0.5416711304520206,NORMAL
41,"May 15, 2025, 3:12 p.m.",85,0,0,2357,8150.75,3,4,64,N/A,N/A,0.0,0.4763422606315358,NORMAL
39,"May 15, 2025, 3:12 p.m.",83,0,0,2236,8150.75,3,4,64,N/A,N/A,0.0,0.34969197262737983,NORMAL
38,"May 15, 2025, 3:12 p.m.",3,0,0,1166,5561.5,83,6,64,N/A,N/A,0.0,0.5203884122188996,NORMAL
37,"May 15, 2025, 3:12 p.m.",83,0,0,6558,8150.75,3,4,64,N/A,N/A,0.0,0.5494042349540231,NORMAL
35,"May 15, 2025, 3:12 p.m.",83,0,0,834,8150.75,3,4,64,N/A,N/A,0.0,0.4305325095056109,NORMAL
36,"May 15, 2025, 3:12 p.m.",3,0,0,1155,5561.5,83,6,64,N/A,N/A,0.0,0.47078510227735676,NORMAL
34,"May 15, 2025, 3:12 p.m.",3,0,0,1139,5561.5,83,6,64,N/A,N/A,0.0,0.4707948736496826,NORMAL
32,"May 15, 2025, 3:12 p.m.",3,0,0,1081,6624.0,83,5,64,N/A,N/A,0.0,0.7193533521938966,NORMAL
33,"May 15, 2025, 3:12 p.m.",83,0,0,2221,6570.4,3,5,64,N/A,N/A,0.0,0.4677004263288604,NORMAL
30,"May 15, 2025, 3:12 p.m.",3,0,0,1075,6624.0,83,5,64,N/A,N/A,0.0,0.4817180937916206,NORMAL
